lambda,B08,C08,D08,E08,F08
200,6,6,6,6,6
202,4.86048,4.99668,6,6,5.33316
204,5.13547,4.66526,5.27275,5.32001,6
206,6,6,6,5.22252,6
208,5.01723,5.90421,6,4.53702,4.82761
210,6,6,4.95674,6,6
212,4.93076,4.72296,4.75479,4.8667,4.84396
214,6,6,6,6,6
216,5.07385,6,5.50293,6,6
218,5.58918,5.59223,6,5.41289,5.07913
220,5.9728,5.56495,6,6,5.24549
222,6,5.17346,6,5.72795,6
224,6,5.34782,5.58528,5.31306,5.55807
226,5.42151,5.69071,5.58371,5.58349,5.44256
228,5.55775,5.54748,5.67329,5.61454,5.6421
230,5.29217,5.35872,5.46316,5.64429,5.33938
232,5.25183,5.24876,5.72242,5.32717,5.18541
234,5.17637,5.16751,5.19178,5.36498,5.08737
236,5.08478,5.1479,5.24512,5.20711,5.0538
238,5.01158,5.11672,5.08877,5.07542,4.98971
240,4.979,5.13434,5.1159,5.10871,4.96294
242,5.06125,5.09003,5.07233,5.19169,5.0729
244,5.02313,5.07701,5.06214,5.15078,4.98468
246,5.12255,5.08509,5.23372,5.21262,5.06301
248,5.13848,5.10176,5.23734,5.204,5.12895
250,5.12578,5.23484,5.31159,5.35992,5.11998
252,5.26283,5.26627,5.43773,5.42887,5.27227
254,5.27742,5.45096,5.37458,5.31562,5.45249
256,6,5.55396,5.54179,5.8183,5.48943
258,5.55589,5.63469,5.61607,5.55514,5.50761
260,5.89167,6,5.60471,5.90291,5.66468
262,5.89015,5.72328,5.61793,5.79611,5.96007
264,6,6,5.83437,5.95487,6
266,5.65848,5.86369,5.75392,5.99644,5.82263
268,5.67727,6,5.95701,6,5.69424
270,5.36617,5.99148,6,5.95218,5.70466
272,5.76557,6,5.82083,5.76277,5.44315
274,5.51405,6,5.78066,5.78463,5.55913
276,5.16924,5.46732,5.22637,5.70753,5.05348
278,4.68148,4.92624,5.00462,5.2488,4.55321
280,4.11461,4.42734,4.44054,4.75094,3.99091
282,3.57185,3.86199,3.89798,4.2163,3.44327
284,3.14133,3.4199,3.4573,3.76588,3.00986
286,2.77556,3.04249,3.08393,3.38357,2.64244
288,2.55392,2.80993,2.8554,3.14822,2.42119
290,2.3656,2.60748,2.65584,2.93496,2.23262
292,2.12982,2.35477,2.40624,2.67046,1.99549
294,1.8697,2.08047,2.13505,2.3865,1.73496
296,1.63953,1.84019,1.89762,2.1404,1.50529
298,1.49085,1.68164,1.74191,1.9769,1.35821
300,1.37117,1.55159,1.6149,1.84114,1.24072
302,1.27045,1.43924,1.50572,1.72237,1.14278
304,1.17522,1.33084,1.40118,1.60735,1.05195
306,1.10037,1.24416,1.31767,1.51412,0.980897
308,1.0339,1.16698,1.24317,1.43075,0.919117
310,0.978327,1.10212,1.18054,1.36014,0.868157
312,0.920257,1.03419,1.11469,1.28581,0.815079
314,0.869507,0.974792,1.05671,1.22013,0.768743
316,0.817691,0.91463,0.997844,1.15339,0.721728
318,0.767304,0.856319,0.940132,1.08829,0.67587
320,0.711186,0.791342,0.875984,1.0159,0.624961
322,0.665386,0.739018,0.823565,0.956981,0.583632
324,0.626635,0.694546,0.779105,0.906948,0.548859
326,0.592782,0.655589,0.740196,0.862869,0.51856
328,0.554797,0.612045,0.696373,0.813216,0.484504
330,0.519854,0.572104,0.655724,0.767349,0.452669
332,0.487316,0.535419,0.618165,0.725065,0.423353
334,0.458459,0.503044,0.585041,0.687696,0.397274
336,0.429719,0.470759,0.55172,0.650185,0.371474
338,0.405606,0.443503,0.523611,0.618062,0.349561
340,0.383616,0.418569,0.497502,0.588159,0.329928
342,0.363541,0.395738,0.473517,0.560646,0.312021
344,0.344367,0.373971,0.450471,0.534182,0.295078
346,0.329476,0.35695,0.432338,0.513091,0.281956
348,0.314967,0.340219,0.414416,0.492132,0.269023
350,0.300454,0.323487,0.39634,0.470814,0.256135
